q_id,name,birth_date,occupation,job_group,exalted_planets,exalted_count,sign_conjunctions,conjunction_count,sign_exchange_candidates,exchange_count,Sun_exalted,Moon_exalted,Mercury_exalted,Venus_exalted,Mars_exalted,Jupiter_exalted,Saturn_exalted
Q1161,Amelia Chopitea Villa,1900-03-20,Bolivia's first female physician,Academic_Science,None,0,None,0,None,0,False,False,False,False,False,False,False
Q1162,Alfonso García Robles,1911-03-20,"Mexican lawyer and diplomat, Nobel Prize laureate",Law,Mars,1,Sun-Mercury,1,Mars-Saturn,1,False,False,False,False,True,False,False
Q1163,Rosemary Timperley,1920-03-20,English author and screenwriter,Writer_Journalism,Jupiter,1,Sun-Moon|Sun-Mercury|Moon-Mercury,3,Jupiter-Moon,1,False,False,False,False,False,True,False
Q1164,Dinos Christianopoulos,1931-03-20,Greek poet,Writer_Journalism,None,0,Sun-Mercury,1,Jupiter-Mercury,1,False,False,False,False,False,False,False
Q1165,Pat Corrales,1941-03-20,American baseball player and manager,Athlete,None,0,Sun-Venus|Jupiter-Saturn,2,Jupiter-Mars,1,False,False,False,False,False,False,False
Q1166,William Hurt,1950-03-20,American actor,Actor_Media,None,0,Sun-Mercury,1,None,0,False,False,False,False,False,False,False
Q1167,Norm Magnusson,1960-03-20,American painter and sculptor,Other,Mars,1,Moon-Jupiter|Mercury-Venus,2,None,0,False,False,False,False,True,False,False
Q1168,Edoardo Ballerini,1970-03-20,"American actor, director, producer, and screenwriter",Actor_Media,Venus,1,Sun-Mercury|Mars-Saturn,2,Jupiter-Venus,1,False,False,False,True,False,False,False
Q1169,Jamal Crawford,1980-03-20,American basketball player,Athlete,None,0,Moon-Venus|Mars-Jupiter,2,Jupiter-Sun,1,False,False,False,False,False,False,False
Q1170,Blake Ferguson,1990-03-20,Australian rugby league player,Athlete,Mars,1,Sun-Mercury|Venus-Mars,2,Jupiter-Mercury,1,False,False,False,False,True,False,False
Q1171,Emperor Taizu of Song,0927-03-21,,Unknown,None,0,Mars-Jupiter,1,None,0,False,False,False,False,False,False,False
Q1172,Johann Sebastian Bach,1685-03-21,German Baroque composer and musician,Actor_Media,None,0,Moon-Jupiter|Mercury-Venus,2,None,0,False,False,False,False,False,False,False
Q1173,Alexander Mozhaysky,1825-03-21,Russian soldier and engineer,Engineering_Tech,Jupiter,1,Sun-Mercury|Moon-Mars,2,Jupiter-Moon,1,False,False,False,False,False,True,False
Q1174,"Florenz Ziegfeld, Jr.",1867-03-21,American director and producer,Actor_Media,None,0,None,0,None,0,False,False,False,False,False,False,False
Q1175,Walter Dray,1886-03-21,American pole vaulter,Other,None,0,None,0,Jupiter-Mercury,1,False,False,False,False,False,False,False
Q1176,Jehane Benoît,1904-03-21,Canadian journalist and author,Writer_Journalism,None,0,Sun-Mercury|Sun-Jupiter,2,None,0,False,False,False,False,False,False,False
